___	
mau du li ting so opo, gewai du sang.	The cat feels something, and therefore meows.
so danatai, mitwiboi du bi so wawe.	Often, humans are the same.
laiwe swa du bi, bi mitwiboi du li ting, mina so o tai du dwemeng so du kumeng wai du bi e ting.	The difference only is, when a human feels something, we always think we know what the reason is.
tai swa mitwiboi du li ting, mitwiboi du bu wai.	As soon as a human feels something, they look for a reason.
geng i wai so mina du obu natai no du bi wai so dwe.	But this reason is usually not the true reason.
tai mina du li so noga, mina dwa du pumeng e we du se tu mang so dama, swa bi mina no du kumeng wai du li i we.	When we feel bad, we must learn how to talk to our loved ones, even if we do not know why we are feeling this way.
	
	
___	
badu bamang	Project partners
images:lisa-ba-mama.png:"du si ba!"	
daswetai 2015, mi du kai umastersdegree.	In 2015, I startd my master's degree.
na wa kwaikwa, wa de mi batai du bi "CS224W: swaduting-pumeng de lengdanakwai"	In the first quarter, one of my classes was CS224W: machine learning for graphs.
i batai du go so ga.	That class went well.
geng, tai badu so pau de mina, mi du yo nogating so wi.	But when it was time for our final project, I had a small problem.
badu so pau du yau yu du kudu ba bamang.	the final project required that one work with a project partner.
ne i batai, mi no du yo dana mamang.	in that class I didn't have many friends.
laiting, na mamang so mi du kumeng, ya du yo bamang de swa.	What's more, the friends I knew already their own project partners.
gewai, mi yau bu bamang!	Therefore, I needed to find a partner!
mi du go tu lilenglu de batai, du mo namo:	I went to the class website and wrote a post:
"mi du yau pau-badu bamang, mi ya du batai de lailai, du bi so dameng, lailai"	I am looking for a final project partner, I have done such-and-such classes, I'm smart, etc."
bataimang so mi no du kumeng du laise i namo.	A classmate I didn't know answered the post.
geng, witai be i du laise mi, ting so ta ga du swadu:	But before he answered me, a better thing happened:
mamang so lai de mi, kalala, du se mamang de i lai du bi ne i batai, nang du kudu ba mi.	Another friend of me, Clara, said that her friend was also in this class, and could work with me.
i mamang du swase lisa;  mi ya du kumeng i so wi.	Her name was Lisa, and I already knew her a bit.
awe du kai so dwedwe mamangtai de lisa ba mi.	Thus started the friendship between me and Lisa in earnest.
mina du kumeng so wi, mina no swa du obu batai de bamang, geng laiting sa de bamang	Little did we know that we did not just find class partners, but also life partners.
___	
🎶 gasang de upasama	🎶 Opossum song
images:ai-upasama-1.png:"upasama"	
laitaisang	Chorus
[i du] noswe noswe nau	[He] washes his nose thoroughly
du so nokwe ko lobau	he [accidentally] knocks over the [water] container
upasama so wi	The smol opossum
du bi ta wi mamang de mi!	is my smallest friend
gasangkwai 1	Verse 1
e mang du igo?	Who is coming?
du oka kagu de mau	eating up the cat's food
e mang du	Who is [..]
gasangkwai 2	Verse 2
nang du bi lai mau?	Could it be another cat?
nang du bi wikuliboi?	Could it be a raccoon?
nang du bi du	Could it be that he [...]
gasangkwai 3	Verse 3
mi du lu siduting	I placed a camera
du si boi so bai so wi:	[and] saw a small white animal:
upasama	The opossum...
gasangkwai 4	Verse 4
i so nokwe du	He accidentally
liko bau de lo de i	knocks over his water bowl
betai i du	then he....
gasangkwai 5	Verse 5
lo du bi lu su	The water is on the ground
pauting i du kai loka	finally he starts drinking
be oka du	After drinking it up, [he]
gasangkwai 6	Verse 6
yu du yau ena tai	How much time do you need
du noswe a nau so lang	to wash that long nose?
ena tai du	How much time do you...
gasangkwai 7	Verse 7
yu so igago	You are welcome
mi yau du si yu du swada	I want to see you grow up
du yau yu du	I want you to....
gasangkwai 8	Verse 8
mi yau du si wimang	I want to see children
du tago ta ya de yu	riding on your back
si ina du	see them ....
	
	
___	
🎶 gasang de dapwaboi	🎶 Squorl Song
laitaisang	Chorus
[du] kwigo ta kwigo ta kwigo ta dapwa; du	[it] quickly goes up, quickly goes up, quickly goes up to the top of the tree
kwigo su kwigo su kwigo su so gwa; du	quickly goes down, quickly goes down, quickly goes down so gracefully
gasangkwai 1	Verse 1
de wikusai du tau tu dapwako	From the fence, [it] jumps to the tree branch
mi du si i, du meng i du kigo	Seeing him I think he is flying
yu du bi sweboi laipo du bi kiboi?	Are you a land animal or a bird?
so gadimang du kwigo i dapwaboi! du	Like a dancer zooms this squirrel! He....
gasangkwai 2	Verse 2
de ilu tu alu du bu pwaku	From here to there, he searches for nuts
no du yameng du pu ana elu	He can't remember where he put them
ilu, alu, olu i du nubi twating — 	Here, there, and everywhere he makes holes --
so peli du bu pwaku i dapwaboi! du	So playfully the squirrel looks for nuts! He...
gasangkwai 3	Verse 3
yuna du oke pwalu de mina	you all destroy our garden
geng lailai mi du ma na dapwaboi	But I still love squirrels
yako de ana so da so boleng~	their tails are so fluffy
mamang de mina du bi na dapwaboi! du	Squirrels are our friends! They
	
	
___	
🎶 gasang de sukwatai	🎶 Song of Autumn
laitaisang	Chorus
pa ge gasa	fruit gives the good life,
pa ge gasa so dada, da-	Fruit gives a very good life, 
swe du gasang	the Earth sings: 
gasangkwai 1	Verse 1
sukwatai du igo	Fall is coming
geng lailai du bi so la	It is still warm
wangtota-kiboi du gasang:	The yellow-crowned bird sings:
gasangkwai 2	Verse 2
na wa sulo du	The first rains
ge sa tu swe so pingtai	give life to the waiting soil
so gali, kiboi du gasang:	jotously, the bird sings:
gasangkwai 3	Verse 3
pwaping du go su	leaves go down
geng o wipwa du go ta	but all the grasses go up
ne wipwa, kiboi du gasang:	in the grass, the bird sings:
gasangkwai 4	Verse 4
nola be du igo	coldness is coming
daswawe kai du swada 	Nature starts growing
watapai kiboi du gasang:	100,000 birds sing:
	
	
	
___	
se so dwe: tadwemang de aisaka	A true story: the god of Isaac
tai mi du go tu ayalang, go de mi so langku.	When I went to Ireland, my journey was arduous.
mi dwa du nopingtai nutai so tamai, du go so pingtai tu kigolu.	I had to wake up too early and go sleepily to the airport.
kigo de mi du yo do kwai.	My flight had two parts.
kwai na wa no du yo nogating.	The first one was problem-free.
geng kwai na do be du igo so nonutai.	But the second one was going to come late.
mi dwa du laiwe kwai na do.	I had to change the second part.
mi du go lepingting, du se “yu nang du laiwe kigo de mi e?”	I went to the counter and said: "Can you change my flight?"
a du se: “mina du kudu i kigo, geng yu du dai lai kigolena du bemengtai i kigo. gewai, mi no nang du laiwe kigo de yu."	They said: "We operate this flight, but you booked this flight with another airline company. Therefore, I can't change your flight."
mi du nogaliki, du laiwe bo, du kogo tu lai kigolukwai.	I sighed, turned around, and walked to the other terminal.
tai mi du ogo lai kigolukwai, mi du twase tu ina, biting de mi du bi e.	When I arrived at the other terminal, I explained to those guys what my situation was.
ina du se: “so da nogali, mina no nang du gage yu.”	They said: "Sorry, we can't help you."
wating a mang so du kudu i kigo nang du laiwe kigo. mina no nang du ting.”	"Only the people who operate this flight cab change the flight. We can't do anything."
mi du se: “geng ana du se no nang du!”	I said: "But they said they can't do it!"
ina du se: “ana so eli. du obu mang so ta lenonu ba”	These guys said: "Those guys are confused. Find a more senior person."
mi du kogo tu kigolukwai na wa. tai de i winai wano witai.	I walked to terminal 1. This took around ten minutes.
yu nang du ese, ina du se e ting tu mi….	You can guess what these guys told me....
dwe, ina du se tu mi, mi dwa du go kigolukwai na do, ese ana.	Correct, they told me I have to go to terminal 2 and ask them.
tai mi lai du ogo kigolukwai na do, swawe ina du se so dali, “mina no nang du.”	When I got to terminal 2 again, naturally they said firmly: "we can't do this".
i tai, mi so kulimeng mi no be du nodu so wawe.	This time, I was determined not to make the same mistake.
mi du se: “yu nang du ge naise na de yu tu mi, gewai mi nang du ge tu ana, yu do nang du se laiswa?”	I said: "Can you give me your phone number, so I can give it to them and the two of you can talk to each other?"
"no nogating! i du bi i lu”	"No problem! Here it is."
so pauting mi so gali, du meng mi nang du si we tu none i bi.	Finally I felt happy; I thought I could see a way out of this situation.
mi du kogo so swadali tu lemang lu lepingting, du ge laise-na tu i.	I proudly walked up to the officer at the counter and gave her the number.
"laitai du bi mi! geng i tai yu nang du naise tu lai lemang!”	"Me again! But now you can phone the other officer!"
i du galisang, no swa du si kwai de ping ne kopau de mi.	She laughed, and did not even look at the piece of paper in my hand.
"kakaka mi no be du a”	"Hahaha I'm not gonna do that"
mi so nitwanogali.	I was despairing.
no du kumeng e du.	I didn't know what to do.
wating nang du wa ting: du naise mamang de mi so danangdu, lisa.	I could only do one thing: phone my very capable friend, Lisa.
ting so dwe, lisa lai go du kigo tu ayalang a baitai.	Lisa was actually also flying to Ireland that day.
i du gage mi, du lu mi ne kigo so wawe de i.	She helped me and put me in the same flight as her.
tai i du ogo kigolu, i du obu mi so ping lu su.	When she arrived at the airport, she found me lying on the floor.
i du ge bau de swangbaugu tu mi.	She gave me sourdough bread.
tai swa mi du si i, mi so gali.	As soon as I saw this/her, I was happy.
lisa du go twa lisilu, geng mi lailai dwa du pu dupinglu.	Lisa went through security, but I still needed to get a seat.
lemang de kigo du ese mi: “yu yau du subo sai lemu de yu?”	The flight officer asked me: "Do you want to sit next to your wife?"
"dwe ba” mi du se.	"Yes please," I said.
mi no du se tu lemang so lisa no du bi lemu de mi.	I did not tell the officer that Lisa was not my wife.
mina du subo sai laiswa o kigo, so da gali.	We sat very happily next to each other the whole flight.
a baitai, dana ting so noga du swadu.	That day, many bad things happened.
geng pauting so da ga.	But the result was very good.
i tai swa, mina du swase i twi de biting “tadwemang de aisaka “	Now, we call this kind of phenomenon "the god of Isaac".
	
	
___	
nokwekwepe	Random Coping Chess
images:nkkp-posed.png,nkkp-teba-aisaka.png,nkkp-lamang-lasiba.png,nkkp-tesa-alang.png,nkkp-teba.png,nkkp-kangpu.png,nkkp-lamang.png,	
tai mi du bi ne dapumenglu, mi du sa ne dabaukwai ba lai mang.	When i was at university, I lived in a room with another person.
i lai mang du swase lamang.	This person's name was Raman.
i du bi mamang so winai de mi.	He was a close friend of mine.
do pingtailu de mina du bi lu sai laiswa.	Our two beds were side-by-side.
mina du pingtai ne tu so gengwe: to de mi lu gokopau de i; gokopau de i lu to de mi.	We slept in opposite directions: my head was at his feet and his feet were at my head.
tai mina kai du pingtai, mina du se meng tu laiswa so mina du meng so yaumeng.	As we fell asleep, we would talk to each other about the ideas that we found interesting.
wa nitai so i, mina du nubi pe.	One such night, we invented a game.
mina ma du pe kwepe.	We liked to play chess.
geng a tai o mina kai du meng, kwepe no mai so da pe.	But both of us had started to feel that chess wasn't that fun anymore.
bi mina du nonawa, du meng swa no so dameng.	If we lost, we felt like we were not intelligent.
laiting, kwepe no so sa so dwe.	Also, chess is not like real life.
sa so dwe du yo dana ting so nonangbesi.	Real life has many unpredicatable events.
pauting, kwepe so ta nopeli.	Finally, chess is too serious.
sa so dwe ya so ta nopeli.	Real life is already too serious.
mina du yau pe de mina o du bi so peli!	We want our games to be all fun!
gewai, mina du nubi pe so nu, so swase "nokwekwepe".	Therefore, we invented a new game called "Random Coping Chess".
nokwekwepe du kai so wawe tu kwepe	Random Coping Chess starts out like chess.
geng na le de pe kai du laiwe so nokwi.	But the rules of the game slowly begin to change.
po, swegwadi du swadu, o pekwai de yu du gwadi tu wa sai de pingting.	Maybe a landslide happens, and all your pieces slide to one side of the board.
laiting koyote du swasi, du ting so nokwe so opo.	Or a coyote appears and wreaks general havoc.
mina du meng i meng du bi meng so pe so da, du pingtai so gali.	We thought this was a very fun idea, and went to sleep happily.
baitai so be, mina du se i meng tu lai na mamang.	the next day, we told other friends about this idea.
wa mamang, teba, du ma i meng so walu.	one friend, Trevor, espcially liked this idea.
mi dapo du noyameng i meng, bi no du bi dasali de i.	I would probably have forgotten about this idea were it not for his enthusiasm.
wina nitabai be, na mamang de lamang du yo baibai bamangting tu i.	A few months later, Raman's friends had a goodbye party for him.
ya i bamangting, teba bemeng du du nokwekwepe tu dweting.	Before this party, Trevor planned to make Random Coping Chess a reality.
i ba aisaka du nubi google slide ting, kai du nubi pingpeting tu pe.	He and Isaac made a Google Slide deck and started making cards for the game.
geng teba so nose du tuli i na pingpeting.	But Trevor secretly printed these cards.
i du kaili o mang de a lu!	This surprised everyone there!
tai so be, lamang go du sa lu sai so tudo de lelu.	Afterwards, Raman went off to live on the east coast of the country.
geng nokwekwepe no du pau.	But Random Coping Chess did not die.
ting so dwe, i ya du kai so swa.	In fact, it was only just beginning.
a daswetai, teba du go o baitai du si aisaka, du pe i pe.	That year, Trevor came every day to see Isaac and play this game.
dasali de teba so dukwang, du ge aisaka li so wawe.	Trevor's enthusiasm was infectious, and gave Isaac the same energy.
aisaka du kai o baitai du nubi pepingting so nu.	Isaac started making new cards every day.
tai i kai du pingtai, tai i du donosaigoting tu kudulu, i nomai du meng nokwekwepe.	As he was falling asleep, as he was biking to work, he only thought about Random Coping Chess.
o de sengtai, aisaka du begameng sengtaipau, tai i nang du pe wa pe so kwa metai lang.	The whole week, Isaac was looking forward to the weekend, when he could play a single, four-hour long game.
aisaka du meng, i du bi po so watwi du meng so ku lai du eta, geng tai so watwi du noleng o swadali de i.	Isaac thought that this was a unique opportunity to think hard and compete, but at the same time let go of his pride.
teba du se so danatai, du meng i ting nang du gemeng, ewe du koyo na ting so nokwe so ku so du swadu ne sa de mang.	Trevor often said that he thought this can teach how to cope with the random and difficult things that happen in one's life.
aisaka du ma i meng, geng du wipomeng i nang du i ting so dwedwe.	Isaac liked this idea, but was uncertain that this could actually do this.
geng aisaka no du kumeng so a tai swa, teba du sa swadu so ku so da.	But Isaac didn't know then that at that very time, Trevor was experiencing an extremely difficult event.
muda de i atai swa du nosa.	His mother had just died.
i pe so dawe tu aisaka.	This game was important to Isaac.
geng i pe so ta dawe tu teba.	But this game was more important to Trevor.
	
	
	
___	
namo de disi na wa	text for video #1
mina du bi ilu itai tu se de sesowi, twi de se so nu.	We're here today to discuss Sesowi, a new sort of language.
yuna nang du se mi, i se du bi e we?	Can you tell me what this language is like?
na, sesowi du bi se so winakwai.	Well, Sesowi is a very simple language.
mowe de i so winakwai, sewe de i so winakwai	Its grammar is very simple and its pronunciation is very simple.
wating du yo wawapai kaisekwai.	There are only 115 root words.
o lai sekwai, o lai mengting, du dai i wawapai kai-sekwai du bo swa.	All other words, all other concepts, are formed of these 115 root words.
na, yu be du se, i se so noku du pumeng e?	So would you say, this language is easy to learn?
na dwe, i se so da noku du pumeng.	yes, this language is very easy to learn!
du yo lai se so mang du nubi.	There are other languages that people have created.
ina laiting so noku du pumeng.	They are also easy to learn.
geng, ina no so odating.	but they are not universal.
nekoting, du meng esepelangtose, lai idose, ingtalingwese, ingtalingwase, lingwa di pwaneta se, lailai.	For example, consider Esperanto, or Interlingue, or Interlingua, or Lingwa di Planeta, or Ido, etc.
ina o so noku du pumeng....	They are easy to learn...
wating muse de yu de elopa.	only if your mother tongue is from Europe.
biting muse de yu du bi sinose, lai basabalise, lai benggalise, ina so ku so da!	If your mother tongue is Chinese, or Balinese, or Bengali, they are very hard!
swa swase de ina so ku du se!	even their names are hard to say!
laiting, sesowi du sang so nangma!	Also, Sesowi sounds cute!
mi du dwemeng,	I believe,
du se se dwa du galitobe mang.	Speaking a language should make people smile.
esemang: na, pautu de yuna du bi okuli odating e?	interviewer: so, is your goal to take over the world?
bi yu du meng so ga, odating ya du sa okuli.	If you think carefully about it, the world has already been conquered.
mang no du koyo lai mang.	People don't understand each other.
i nokoyo ya du okuli mina.	This lack of understanding has already conquered us.
sesowi du ge mina nangdu so nu du koyo laiswa.	Sesowi gives us a new opportunity to understand each other.
geng, odating de se o so laiwe so da.	The world's languages are all so different. 
ewe nang du yo se so noku du pumeng tu o mang?	How can there be a language that is easy for everyone to learn?
yu du se so dwe, odating de se no du yo dana so bayo.	You are right, the world's languages do not have much in common.
noting 'mama', no du yo swa wa sekwai so o se du bayo.	Except 'mama', there is not even one word that all languages share.
gewai, mina du dai sekwai so wi du nubi mengting so danakwai.	Therefore, we use small words to build complex concepts.
nekoting, 'lokolangboi' i sekwai:	For example, the word "salamander":
mi du gesi lilenglu de mina tu yu ba.	Let me show you our website.
du yo nuse lai swawemeng	It has the introduction and philosophy,
na sang, na kaisekwai	the sounds, the root words (atoms),
na mowe, lai na pumengtai	the grammar, and lessons
nang du dai englise du bu sekwai ne sekwaibu,	you can use English to search for words,
laiting nang du dai sesowi.	or you can use Sesowi.
ilu du yo yase.	Here are stories.
nang du pi sekwai, du si twase de i.	You can click on the words to see their definitions
laiting du pi winamo, du si twasi de winamo	or click on the sentence to see the sentence's definition
pauting, du yo disi de mina:	finally, there are our videos:
i baitai mi be du ese tu aisaka kasawela,	Today we are here to interview Isaac Caswell
de se so nu: sesowi	about a new language: Sesowi
du igo so witai ba, deba!	Come again soon, Dave!
deba, du igo so witai ba!	Dave, come again soon!
baibai!	bye bye!
	
	
	
___	
namo de disi na wa	text for video #2
wikatai du bi e ting?	what's for breakfast?
putaupa!	grapes!
mi du dama putaupa!	I love grapes!
mai putaupa!	more grapes!
mi no dwa du ka o ina	I shouldn't eat them all...
iwai dagaibawi de mi laiting dwa du kaisi!	...because big brother needs to try them too!
nawa ting, dwa du noswe nau	first must wash nose
[noi witai be]	[nine minutes later]
bawi, putaupa!	Brother, grapes!
o? lo?	Oh? Water?
dagaibawi, putaupa!	Big Brother, grapes!
putaupa!	Grapes!
[langdeng]	[fang]
mi du dama putaupa!	I love grapes!
