surface	gloss	supergloss	supercompound	display gloss	i	a	COMMENTS/TODOS	alt_gloss	noun/pronoun	phonetic noun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn	cognates	tok
lu	place			place	46	92			place; area; field; land; region; yard; court; location			to put (sth swh); to place (sth swh); to set up sth; to be located			at; at (exact location); on (temporal)			anywhere	lu (fr:0.7:lieu; es:0.7:lugar; pt:0.7:lugar; fil:0.7:lugar; bm:0.3:la=place; zh:0.7:陆lu=land); zai (zh); tai (vi); pu (en:0.7:put; es:0.5:poner; ru:0.5:положить; te:0.3:పెట్టడానికి) fang (zh:fang)	
	self-place	address			46.5				address											
we	way			way	47	96			way; method; solution; explanation; manner			to solve sth						how	we (en:1.0:way; de:0.7:Weg)	
yau	want			want	48	98	TODO: consider changing to "wang" if there is danger of collision of "yau wiboi" / "ya i boi"		desire; want; intention		desirable; intentional	to want sth; to intend; to intend to do sth; to want to do sth							yau (zh:1.0:yao=want); shang (zh); wang (en);	wile
	fruit-want	depend			49		aka result needs X		dependence			to depend on sth								
tai	time			time(s)	50	102	"TODO: ""ever"" needs a better gloss
TODO consider ""teng"" as surface?"		time; a time		times (used to make perfect)	to be time (for sth); to be time to do sth						anytime	tai (en:0.7:time; es:0.3:tiempo; fr:0.2:temps; it:0.3:tempo; pt:0.3:tempo; fi:0.2:aika; de:0.5:Zeit)	tenpo
dwa	must			must	51	104			obligation; duty		required	to have to do sth; to be obligated to do sth; to be supposed to do sth; to require sth						must; should	dwa (fr:1.0:doi; hi:0.5:दायित्व=obligation; ru:0.2:должен=must/should; es:0.2:debe=must; pt:0.2:deve=must; it:0.2:dovere=must; fil:0.3:dapat=must/should; ha:0.3:dole=must; te:0.2:తప్పక=must); bi (zh)	
	all-person-must	responsibility	everyone-must		51.5		Or: odwa?		responsibility		responsible	to be responsible for; to take responsibility for								
wai	reason			reason	52	108		cause	reason; cause; behalf		causal; on behalf of	to cause sth; to incite sth			for (to fight for something)				wai (en:0.8:why; zh:0.7:为/wei=for; fr:0.4:raison); pa (ga:fáth; en:for); kau (es:causa)	
pa	fruit			result/fruit	53	110			result; fruit										pa (ta:0.7:pazham=fruit; sa:0.7:phala=fruit; hi:0.7:फल/phal=fruit; hi:0.7:परिणाम/parinam=result; en:0.1:fruit=fruit; ig:0.2:pụta=result; te:0.7:ఫలితం=fruit; te:0.7:పండు=fruit)	kili
be	front			front/marks future	54	112	has antonym	after	front; the future		facing forwards; forwards; after; beyond; then	to pass; to overtake; to go beyond		after (temporal);	in front of; before (location);			next (temporal); will (marks future); would (marks conditional)	be (tpi:0.7:bai=future tense marker; sw:0.6:mbele=front/forwards; zh:0.9:备bei=to prepare to; ru:0.4:передний=front; ru:0.4:вперед=forwards; zh:0.1:hui=future; zh:-0.7:bei=back) ; de (fr:devant; id:depan) ne (pie:nose); mua (iba)	sinpin
ya	back			back/marks past	54.5	114	has antonym; "before" is an interesting word, because it literally means "in front". Thus "vorhersagen" etc really refer to time stretching in front of you. Therefore, "back" is a less confusing gloss. Note that this could be anti-front, but is seems too fundamental for that.	before;back; already; past: anti-front	back; the past		facing backwards; backwards; already; before (temporal); in the past; following; last (temporal; e.g. "last friday"); behind (location); ago (temporal); previous; previously								ya (es:0.8:ya=already; es:0.7:-ía; it:0.5:già=already; fi:0.2:jo=already); ha (en:have, es:ha, de:habe); da (en:done); le (zh:le, fr:l'est); da (vi:đã), se (vi:“sẽ”, fr:s'est); la (zh:le, fr:l'a); ko (zh:hou=back); ba (en:back)	
se	talk			talk	55	116			talk; speech; story; tale; language		talkative	to say sth; tell sth; to call sb; to tell (sb sth); to recount sth; to talk (about sth: of thing); to pronounce sth; to speak sth							se (en:1.0:say; zh:0.1:shuo=say; fi:0.2:sanoa=say; ru:0.2:сказать=say; tr:0.2:söyle=say; de:0.2:sprech=speak; yo:0.2:sọ=say; fil:0.2:sabihin=say; )	toki
	of-talk	describe			55.5				description; review; report			to describe sth; to review sth; to report sth								
	of-talk-number	rating	describe-number		55.6				rating			to rate sth								
	back-talk	story			56				story; history		historical; legendary	to tell a story								
	do talk of				57							to talk about sth; to talk of sth								
	back-time	before			59						before; back then									
bo	body			body	60	128			body; trunk; stem; main part of sth; shape; form;		main; bodily	to form sth; to embody sth; to mould sth; to constitute sth; to make up sth							bo (en:0.4:body; id:0.6:bodi; fi:0.6:bodi; sw:0.6:bodi; id:0.2:badan=body; id:0.2:batang=trunk; fil:0.2:baul=trunk; es:0.0:cuerpo, id:0.1:tubuh); ku (some SEA languge si think; sw:ku=main); seng (zh:shen); ti (zh:ti); gan (zh:gan=trunk); mwi (sw:mwili=body)	sijelo
me	middle			middle	61	130			middle; center; waist		middle; medium; fine; fair; average				among (multiple objects); between				me (fr:0.2:moyenne; en:0.5:medium/middle; es:0.6:medio=middle; pt:0.7:meio=middle; it:0.6:mezzo=middle; fr:0.2:milieu=middle; ru:0.6:между=between; de:0.2:Mitte; te:0.2:మధ్య=middle; hi:0.2:मध्य=middle); mwe (fr:0.7:moyenne; en:0.3:medium/middle; es:0.3:medio=middle; pt:0.3:meio=middle; it:0.3:mezzo=middle; fr:0.2:milieu=middle; ru:0.3:между=between; de:0.2:Mitte; te:0.2:మధ్య=middle)	meso
bu	seek			seek/try	62	132			search; try; attempt			to try; to seek sth; to search for sth; to try to do sth; to attempt to do sth							bu (es:0.6:buscar); tai (en:try, sw:tafuta=search); chau (zh:zhao);	
bai	light			light/white	63	134	has antonym		light; white; bright		white; light	to light sth (e.g. a room); to become white; to make sth white							bai (zh:1.0:bai=white; en:0.6:bright; ru:0.4:belyy; tr:0.4:beyaz; es:0.2:blanco; fr:0.2:blanc; de:0.3:Weiß; en:0.3:white); gwang (zh:guang=light; sw:mwanga=light)	suno;walo
ni	dark			dark/black	64	136	has antonym	anti-light	darkness; blackness; shadow; shade		dark; black	to become black; to make sth black							ni (es:0.4:negro; en:0.3:night; fr:0.2:noir, fr:0.3:nuite; sw:0.3:nyeusi=black; sn:0.2:nhema=black; ig:0.2:nwa=black; te:0.2:నలుపుnalupu=black)	pimeja
twa	through			through	65	138			hole; passage; tunnel			to go through swh			through				twa (ono:0.2); tang (zh:0.4:tong=through; en:0.2:tunnel; es:0.2:túnel; ru:0.2:туннель; fr:0.2:tunnel; ms:0.3:terowong; de:0.2:Tunnel; tr:0.2:tünel); tong (zh:0.6:tong=through; en:0.2:tunnel; es:0.2:túnel; ru:0.2:туннель; fr:0.2:tunnel; ms:0.3:terowong; de:0.2:Tunnel; tr:0.2:tünel)	
twi	kind			type/kind	66	140			type; kind; genre; category		typical; usual; classic	to typecast sth/sb; to categorize sth							twi (en:0.3:type; es:05:tipo; pt:05:tipo; it:05:tipo; ru:05:tip; fr:05:type; fi:05:tyyppi; tr:0.2:tür)	
ta	over			up/over/top	67	142					over; up; above	to be on top of sth/sb; to pass sth/sb; to surpass sth/sb			over; up(direction); above				ta (en:0.8:top, id:0.7:atas=on top of; fil:0.7:itaas=top); sang (zh:shang); chu (sw:juu)	
su	down			down	68	144	DECIDED: "really need to decide whether to split out top/bottom from over" — not merging for now at least	no-over	butt; bottom; base; ground; floor		down; fallen; base; fundamental; below	to fall; to knock over; to drop sth; to down sth; to fell sth; to sit sth. down			underneath (static); down (direction); under; below					anpa
si	see			see	69	146			vision; sight; look; view		looking	to see sth; to sense sth; to look (at sth); to meet sb; to meet sb; to view sth							si (en:1.0:see; es:0.5:Siento=I feel; pt:0.5:eu sinto=I feel; it:0.2:sento=I feel; fr:0.2:Je me sens=I feel; de:0.6:sehen)	lukin
po	possibility			possible/may/might (with verb)	70	148			possibility		possibly	to doubt sth/sb; to suspect sth/sb						maybe; may; might; could	po (es:0.6:posible=possible; pt:0.6:possível=possible; it:0.6:possibile=possible; fr:0.6:possible=possible; fil:0.6:posible=possible; ); me (en:1.0:may; ru:0.2:может/мощь/мог=may/might; fil:0.2:maaari=may; de:0.2:mag)	
li	energy			energy/feeling	71	150			energy; feeling; power; strength		energetic; feeling	to feel sth; to make someone do something; to force sb to do sth							li (zh:1.0:li力); chi (zh:qi)； mu (de:Mut)	pilin
kai	start			start	72	152	DECIDED: "merge with 'opening'": — no need unless it feels right later	number-one	beginning; origin; source		original; originally; ur-;	to start sth; to begin sth				ur-			kai (zh:1.0:kai=start; pie:0.3:*ken=begin; es:0.2:comienzo=beginning; pt:0.2:começo=beginning; fr:0.2:commencer=begin; en:0.2:commence; sn:0.2:kutanga=begin; sw:0.2:kuanza=begin); ken (pie:*ken=begin); fang (de:fang=start; zh:fang=put)	open
dwe	truth			truth	73	154			truth; reality; fact; correctness		correct; true; genuine; realistic; actual; actually; in fact; real	to be genuine; to correct sth/sb; to do sth correctly					yes; ok; okay; indeed; yeah		dwe (zh:1.0:dui=true; ru:0.2:да=yes; ig:0.1:ee=yes; vi:0.1:Đúng=yes); ba/be (de:wahr); sai (tr; es:si=yes); ya (de:ja)	
	big-truth	real			74		"really-true" -- just a more emphatic form		authenticity		genuine; authentic; actually; really									
to	head			head/main	75	158		top-part	head; bud; leader			to drive; to drive sth; to head sth; to lead sth; to guide							to (zh:1.0:tou; ru:0.2:голова; fr:0.2:tête; it:0.2:testa; id:0.2:tunas=bud; tr:0.5:tomurcuk=bud; te:0.2:తల=head; ha:0.5:toho=bud)	lawa
	head-person	leader			75.5				leader; guide											
	head-surface	hat			76		"topi" means hat in Indonesian!!	head-thing												
kwi	fast			speed	77	164			speed		fast	to speed							kwi (zh:0.5:kuai; en:0.7:quick; id:0.2:kecepatan=speed; sw:0.2:kasi=speed)	
gi	high			high/hill	78	166			hill; breast; bump; lump; height; level; degree		high; tall	to rise; to raise sth							gi (ce:1.0:гу; ga:0.6:cnoic/gcnoic, sw:0.8:kilima=hill; yo:0.2:ga=high; en:0.7:hill+high, ru:0.2:грудь; zh:0.3:高); hai (en:high); gwe (zh:gui; ce:гу; ga:cnoic, en:hill, en:high); *i (sounds like "hill"; has a "high" vowel so semi onomonopoeia);	sewi
la	hot			hot	79	168			temperature; heat		hot	to get hotter; to heat sth (up)							la (zh:0.9:la=hot/spicy; hi:0.6:laal=red, zh:0.2:re=hot; fi:0.6:lämpöä); ko (zh:hou=fire)	seli
lang	long			long	80	170			length		long	to elongate sth; to make sth longer							long (en:0.9:long, de:0.8:lang, es:0.8:longitud; hi:0.3:लंबा; pt:0.9:longo; it:0.7:lungo; fr:1.0:long); chang (zh:chang, id:panjang); dai (vi:dai=long); gau (totally random)	
	long-time	longtime			81				age; aeon		for a long time; for ages									
ping	flat			plat	82	174		level; flat; equal	level; a flat thing; evenness; levelness; equality; flatness; pitch (music); leaf; paper		flat; even; level; equal; fair; lying	to level; to equal sth; to flatten sth; to lay sth; to set sth;							ping (zh:1.0:ping=level, vi:0.1:bình=peace; ru:0.2:плоский=flat; es:0.2:plano/papel=flat/paper; pt:0.2:plano=flat; it:0.2:Piatto=flat; fr:0.2:plat=flat; fil:0.2:patag; yo:0.4:alapin=flat)	lipu
	no-flat	rough			83						rough; course	to ruffle sth								
	new-flat	beginner									beginner									
	middle-flat	intermediate									intermediate									
	high-flat	advanced					TODO big flat?				advanced									
nu	new			new	84	184	many languages differentiate "young" (animate) and "new" (inanimate)		youth; freshness; newness; novelty; news		new; fresh; novel; raw	to renew sth; to refresh sth; to rejuvinate sth							nu (en:1.0:new; de:0.5:neu; ru:0.5:новый; es:0.7:nuevo; it:0.7:nuovo; pt:0.5:novo; fr:0.8:nouveau; hi:0.2:नया)	sin
bwa	opening			opening/mouth	85	186		mouth	opening; mouth; entrance; exit; hole; door; window		open; on (of a light); surprise	to make an opening; to open sth; to make an opening in sth; to turn sth on; to be surprised; to surprise sb							bwa (es:0.4:boca=mouth; pt:0.4:boca=mouth; it:0.4:bocca=mouth; fr:0.2:bouche=mouth; fil:0.2:bibig=mouth; ha:0.4:budewa=opening); bu (fr:bouche; zu: vula; ha: bude; id: membuka); mung (de:Mund)	lupa; open
	container-opening	door			86				door											
	light-opening	window			87				window											
	opening-be	availability			87.5		aka in a state of openness		availability		abailable									
kwang	wide			wide	88	194	"TODO consider whether to deatomize into side-long
link to ausbreiten = to become broad = to spread out; same with zh 播"	spread			wide; broad; thick	to spread sth; to spread sth out; to transmit sth; to disperse sth; to propagate sth							kwang (zh:0.7:广/guǎng=wide, zh:0.8:宽kuan=wide, th:1.0:kwang=wide; sw:0.4:kueneza=to spread)	
gwa	easy			easy	89	196	convenient could also be "easy-do" or "fast-do"		ease; easiness; lightness; convenience; smoothness		easy; light; convenient; smooth	to smooth out; to smooth sth out							gwa (zh:1.0:guanghua光滑=smooth; ono:0.8; pl:0.8:gładki; ru:0.4:гладкий; es:0.3:suave=smooth; de:0.4:glatt=smooth); lai (en:light; es:ligero=light[weight]; id:ringan=light[weight]) ; *wa (zh:光滑=smooth; pt:suave=smooth; es:suave=smooth)	
sai	side			side	90	198			side; bank (of river); edge; coast; sharpness										sai (en:0.7:side; as:0.2:ساحل=coast; tr:0.2:sahil=coast; ru:0.2:сторона=side; id:0.3:samping=side; ms:0.2:sebelah=side; de:0.7:Seite=side), s* (ono; en:sharp, vi:sắc=sharp; ru:ostryi=sharp;, ja:surudosa=sharpness;), beng (zh:bian)	poka
pi	surface			surface/skin	91	200	NOTE: the atom "touch (mwa)" was merged into this	touch	surface; skin; bark; touch; contact		touching	to touch sth; to rub sth; to meet sth; to contact sth; to cross sth; to meet sth; to click sth							pi (zh:1.0:pi=skin, es:0.8:piel=skin; ko:0.7:pibu=skin; th:0.8:phio=skin; ru:0.2:поверхность=surface; pt:0.3:pele=skin; it:3:pelle=skin; fr:0.2:peau=skin; ms:0.3:permukaan=surface; fi:0.6:pinta=surface; zu:0.2:phezulu=surface; sn:0.2:pamusoro=surface; en:0.5:peel) mwa (ono:0.5, zh:0.8:mo=touch; id:0.2:menyentuh=touch)	selo
yang	color			color	92	202			color; ink; dye		colored; colorful	to color sth ; to ink sth; to dye sth							yang (zh:0.4:颜=color; hi:0.3:rang=color=color, te:0.3:rang=color, ar:0.3:rang=color; sw:0.2:rangi=color); lang (hi:0.8:rang, te:0.8:rang, ar:0.8:rang; sw:0.7:rangi=color; tr:0.5:renk=color)	kule
kwa	four			four	93	204							four						ke (ga:0.8:ceathrar; es:0.2:cuatro; fr:0.2:quatre); kwa (ga:0.2:ceathrar; es:0.7:cuatro; fr:0.5:quatre; pt:0.7:quatro)	
pai	five			five	94	206							five						pai (en:0.5:five; hi:0.5:पाँच; ru:0.3:пять)	
lau	six			six	95	208							six						lau (zh:0.6:liu=six; yue:0.5:luk6=six; vi:0.4:sáu); sau (vi:sáu=six)	
